timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/04/25 07:38:42.177, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:43.180, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:44.183, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:45.189, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:46.192, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:47.196, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:48.199, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:49.202, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:50.206, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:51.209, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:52.212, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:53.215, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:54.218, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:55.222, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:56.226, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:57.229, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:58.232, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:38:59.235, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:00.238, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:01.242, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:02.245, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:03.248, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:04.252, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:05.255, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:06.258, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:07.261, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:08.265, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:09.268, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:10.272, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:11.275, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:12.279, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:13.282, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:14.285, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:15.288, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:16.292, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:17.295, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:18.299, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:19.302, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:20.305, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:21.309, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:22.312, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:23.315, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:24.318, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:25.321, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:26.325, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:27.328, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:28.331, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:29.334, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:30.337, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:31.341, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:32.344, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:33.348, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:34.351, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:35.354, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:36.358, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:37.361, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:38.364, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:39.368, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:40.371, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:41.375, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:42.378, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:43.381, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:44.384, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:45.387, 29.84 W, 0 %, 0 %, 342 MiB
2025/04/25 07:39:46.391, 29.84 W, 0 %, 0 %, 342 MiB
