timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/06/10 06:00:46.968, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:47.073, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:47.175, 30.56 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:47.279, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:47.382, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:47.485, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:47.588, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:47.692, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:47.795, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:47.898, 30.56 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:48.001, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:48.105, 30.56 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:48.208, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:48.312, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:48.415, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:48.518, 30.56 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:48.621, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:48.725, 30.56 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:48.828, 30.56 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:48.931, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:49.035, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:49.138, 31.04 W, 0 %, 0 %, 544 MiB
2025/06/10 06:00:49.241, 30.80 W, 2 %, 0 %, 542 MiB
2025/06/10 06:00:49.344, 30.80 W, 2 %, 0 %, 542 MiB
2025/06/10 06:00:49.447, 30.80 W, 0 %, 0 %, 542 MiB
2025/06/10 06:00:49.551, 37.65 W, 1 %, 0 %, 570 MiB
2025/06/10 06:00:49.654, 38.13 W, 1 %, 0 %, 542 MiB
2025/06/10 06:00:49.757, 56.64 W, 56 %, 5 %, 542 MiB
2025/06/10 06:00:49.860, 41.29 W, 56 %, 5 %, 544 MiB
2025/06/10 06:00:49.963, 42.27 W, 66 %, 3 %, 598 MiB
2025/06/10 06:00:50.066, 38.38 W, 81 %, 2 %, 542 MiB
2025/06/10 06:00:50.173, 39.11 W, 81 %, 2 %, 542 MiB
2025/06/10 06:00:50.276, 38.87 W, 85 %, 1 %, 542 MiB
2025/06/10 06:00:50.379, 38.38 W, 88 %, 2 %, 748 MiB
2025/06/10 06:00:50.482, 39.60 W, 88 %, 2 %, 544 MiB
2025/06/10 06:00:50.585, 38.87 W, 83 %, 2 %, 544 MiB
2025/06/10 06:00:50.689, 37.40 W, 83 %, 2 %, 544 MiB
2025/06/10 06:00:50.793, 39.60 W, 90 %, 4 %, 544 MiB
2025/06/10 06:00:50.896, 43.73 W, 91 %, 5 %, 542 MiB
2025/06/10 06:00:50.999, 59.78 W, 91 %, 5 %, 622 MiB
2025/06/10 06:00:51.102, 53.25 W, 74 %, 21 %, 792 MiB
2025/06/10 06:00:51.205, 56.88 W, 85 %, 21 %, 794 MiB
2025/06/10 06:00:51.308, 51.76 W, 85 %, 21 %, 840 MiB
2025/06/10 06:00:51.412, 64.45 W, 84 %, 19 %, 840 MiB
2025/06/10 06:00:51.515, 36.67 W, 84 %, 19 %, 786 MiB
2025/06/10 06:00:51.618, 36.42 W, 60 %, 5 %, 786 MiB
2025/06/10 06:00:51.722, 36.42 W, 43 %, 0 %, 786 MiB
2025/06/10 06:00:51.825, 36.42 W, 43 %, 0 %, 786 MiB
2025/06/10 06:00:51.928, 36.42 W, 43 %, 0 %, 786 MiB
2025/06/10 06:00:52.032, 36.42 W, 43 %, 0 %, 786 MiB
2025/06/10 06:00:52.137, 41.77 W, 42 %, 0 %, 786 MiB
2025/06/10 06:00:52.240, 36.18 W, 59 %, 1 %, 786 MiB
2025/06/10 06:00:52.343, 36.18 W, 59 %, 1 %, 786 MiB
2025/06/10 06:00:52.446, 36.18 W, 42 %, 0 %, 786 MiB
2025/06/10 06:00:52.552, 36.18 W, 42 %, 0 %, 786 MiB
2025/06/10 06:00:52.655, 36.18 W, 42 %, 0 %, 786 MiB
