timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/05/29 18:01:59.183, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:00.186, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:01.190, 32.76 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:02.193, 32.03 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:03.196, 32.76 W, 4 %, 0 %, 780 MiB
2025/05/29 18:02:04.199, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:05.203, 31.05 W, 5 %, 0 %, 780 MiB
2025/05/29 18:02:06.208, 31.05 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:07.212, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:08.215, 30.80 W, 5 %, 0 %, 780 MiB
2025/05/29 18:02:09.218, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:02:10.221, 31.05 W, 5 %, 0 %, 780 MiB
2025/05/29 18:02:11.226, 31.29 W, 4 %, 0 %, 780 MiB
2025/05/29 18:02:12.229, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:13.232, 31.05 W, 4 %, 0 %, 780 MiB
2025/05/29 18:02:14.236, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:15.239, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:16.243, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:17.246, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:18.249, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:19.254, 31.29 W, 4 %, 0 %, 780 MiB
2025/05/29 18:02:20.258, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:21.261, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:22.264, 33.00 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:23.267, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:24.272, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:25.275, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:02:26.278, 32.51 W, 4 %, 0 %, 780 MiB
2025/05/29 18:02:27.281, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:28.284, 33.98 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:29.290, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:02:30.293, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:31.297, 35.20 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:32.300, 32.27 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:33.303, 32.27 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:34.308, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:35.311, 31.05 W, 5 %, 0 %, 780 MiB
2025/05/29 18:02:36.314, 37.65 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:37.317, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:38.320, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:39.324, 31.29 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:40.327, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:41.330, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:42.335, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:43.338, 30.80 W, 6 %, 0 %, 780 MiB
2025/05/29 18:02:44.341, 31.05 W, 5 %, 0 %, 780 MiB
2025/05/29 18:02:45.344, 31.53 W, 4 %, 0 %, 780 MiB
2025/05/29 18:02:46.347, 32.03 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:47.353, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:48.356, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:49.359, 33.24 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:50.362, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:02:51.365, 32.27 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:52.371, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:53.374, 31.54 W, 1 %, 0 %, 780 MiB
2025/05/29 18:02:54.377, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:55.380, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:56.384, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:57.389, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:02:58.392, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:02:59.395, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:00.398, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:01.401, 31.53 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:02.404, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:03.407, 30.80 W, 5 %, 0 %, 780 MiB
2025/05/29 18:03:04.411, 35.44 W, 1 %, 0 %, 780 MiB
2025/05/29 18:03:05.415, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:06.418, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:07.421, 32.27 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:08.424, 30.80 W, 5 %, 0 %, 780 MiB
2025/05/29 18:03:09.427, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:10.433, 30.80 W, 5 %, 0 %, 780 MiB
2025/05/29 18:03:11.436, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:12.439, 32.27 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:13.442, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:14.445, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:15.451, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:03:16.454, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:17.458, 31.05 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:18.461, 31.54 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:19.464, 32.52 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:20.469, 31.05 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:21.472, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:22.475, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:23.478, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:24.481, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:25.484, 33.73 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:26.487, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:27.491, 31.05 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:28.495, 31.54 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:29.498, 31.54 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:30.501, 31.54 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:31.504, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:32.507, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:33.513, 34.47 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:34.516, 31.05 W, 1 %, 0 %, 780 MiB
2025/05/29 18:03:35.519, 32.76 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:36.522, 31.05 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:37.525, 31.05 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:38.531, 31.05 W, 1 %, 0 %, 780 MiB
2025/05/29 18:03:39.534, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:40.537, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:41.540, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:42.544, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:43.549, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:44.553, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:03:45.556, 31.78 W, 1 %, 0 %, 780 MiB
2025/05/29 18:03:46.559, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:03:47.562, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:03:48.565, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:03:49.568, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:50.571, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:51.575, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:52.578, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:53.581, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:54.584, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:55.587, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:56.593, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:57.596, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:58.599, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:03:59.602, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:00.605, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:01.610, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:02.613, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:03.616, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:04.619, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:05.622, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:06.625, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:07.628, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:08.631, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:09.636, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:10.639, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:11.642, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:12.645, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:13.648, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:14.653, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:15.656, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:16.659, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:17.662, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:18.665, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:19.671, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:20.674, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:21.677, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:22.680, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:23.683, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:24.688, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:25.691, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:26.694, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:27.697, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:28.700, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:29.703, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:30.706, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:31.709, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:32.713, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:33.716, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:34.719, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:35.722, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:36.726, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:37.730, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:38.733, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:39.736, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:40.739, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:41.742, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:42.745, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:43.748, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:44.751, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:45.754, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:46.757, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:47.760, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:48.764, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:49.767, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:50.770, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:51.773, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:52.776, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:53.779, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:54.783, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:55.786, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:56.790, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:57.794, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:58.797, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:04:59.799, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:00.802, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:01.807, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:02.810, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:03.813, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:04.816, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:05.819, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:06.825, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:07.828, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:08.831, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:09.834, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:10.837, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:11.842, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:12.845, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:13.848, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:14.851, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:15.854, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:16.857, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:17.860, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:18.863, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:19.867, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:20.870, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:21.873, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:22.876, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:23.879, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:24.885, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:25.888, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:05:26.891, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:05:27.894, 34.71 W, 4 %, 0 %, 780 MiB
