timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/06/09 13:13:20.897, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:20.997, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:21.101, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:21.204, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:21.307, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:21.410, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:21.515, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:21.618, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:21.721, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:21.824, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:21.928, 31.04 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:22.031, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:22.136, 31.04 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:22.239, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:22.342, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:22.445, 31.05 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:22.549, 31.04 W, 0 %, 0 %, 524 MiB
2025/06/09 13:13:22.652, 31.04 W, 0 %, 0 %, 540 MiB
2025/06/09 13:13:22.756, 31.04 W, 0 %, 0 %, 540 MiB
2025/06/09 13:13:22.859, 31.04 W, 0 %, 0 %, 540 MiB
2025/06/09 13:13:22.962, 31.04 W, 0 %, 0 %, 542 MiB
2025/06/09 13:13:23.065, 32.51 W, 0 %, 0 %, 540 MiB
2025/06/09 13:13:23.169, 31.04 W, 2 %, 0 %, 540 MiB
2025/06/09 13:13:23.272, 31.04 W, 2 %, 0 %, 540 MiB
2025/06/09 13:13:23.377, 31.04 W, 0 %, 0 %, 568 MiB
2025/06/09 13:13:23.480, 45.44 W, 0 %, 0 %, 610 MiB
