timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/05/29 16:18:08.601, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:09.604, 30.80 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:10.607, 32.76 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:11.610, 34.71 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:12.614, 30.80 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:13.617, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:14.623, 31.53 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:15.626, 31.04 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:16.629, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:17.632, 31.54 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:18.635, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:19.640, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:20.644, 31.05 W, 3 %, 0 %, 784 MiB
2025/05/29 16:18:21.647, 30.80 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:22.650, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:23.653, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:24.658, 31.04 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:25.661, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:26.664, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:27.667, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:28.670, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:29.675, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:30.678, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:31.681, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:32.685, 34.22 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:33.688, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:34.691, 31.04 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:35.694, 32.76 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:36.697, 31.04 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:37.700, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:38.704, 34.71 W, 2 %, 0 %, 784 MiB
