timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/06/10 06:09:24.989, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:25.092, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:25.195, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:25.302, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:25.405, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:25.508, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:25.611, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:25.714, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:25.817, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:25.921, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:26.024, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:26.127, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:26.230, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:26.334, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:26.437, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:26.541, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:26.644, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:26.747, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:26.850, 31.53 W, 4 %, 0 %, 786 MiB
2025/06/10 06:09:26.954, 31.05 W, 4 %, 0 %, 786 MiB
2025/06/10 06:09:27.057, 30.80 W, 4 %, 0 %, 786 MiB
2025/06/10 06:09:27.160, 31.05 W, 1 %, 0 %, 786 MiB
2025/06/10 06:09:27.264, 30.80 W, 1 %, 0 %, 786 MiB
2025/06/10 06:09:27.367, 33.00 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:27.470, 30.80 W, 4 %, 0 %, 786 MiB
2025/06/10 06:09:27.573, 30.80 W, 4 %, 0 %, 786 MiB
2025/06/10 06:09:27.676, 35.20 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:27.780, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:27.883, 30.80 W, 5 %, 0 %, 786 MiB
2025/06/10 06:09:27.986, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:28.090, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:28.193, 30.80 W, 1 %, 0 %, 786 MiB
2025/06/10 06:09:28.297, 31.05 W, 1 %, 0 %, 786 MiB
2025/06/10 06:09:28.403, 30.80 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:28.506, 30.80 W, 1 %, 0 %, 786 MiB
2025/06/10 06:09:28.609, 30.80 W, 1 %, 0 %, 786 MiB
2025/06/10 06:09:28.712, 31.53 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:28.815, 30.80 W, 5 %, 0 %, 786 MiB
2025/06/10 06:09:28.919, 30.80 W, 5 %, 0 %, 786 MiB
2025/06/10 06:09:29.023, 31.29 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:29.126, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:29.229, 34.22 W, 1 %, 0 %, 786 MiB
2025/06/10 06:09:29.332, 33.73 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:29.435, 30.80 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:29.539, 30.80 W, 4 %, 0 %, 786 MiB
2025/06/10 06:09:29.642, 30.80 W, 1 %, 0 %, 786 MiB
2025/06/10 06:09:29.745, 30.80 W, 1 %, 0 %, 786 MiB
2025/06/10 06:09:29.849, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:29.952, 31.05 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:30.055, 30.80 W, 4 %, 0 %, 786 MiB
2025/06/10 06:09:30.159, 30.80 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:30.262, 30.80 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:30.365, 30.80 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:30.469, 30.80 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:30.572, 30.80 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:30.675, 31.29 W, 4 %, 0 %, 786 MiB
2025/06/10 06:09:30.779, 30.80 W, 4 %, 0 %, 786 MiB
2025/06/10 06:09:30.882, 30.80 W, 1 %, 0 %, 786 MiB
2025/06/10 06:09:30.985, 30.80 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:31.089, 33.49 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:31.192, 30.80 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:31.295, 32.27 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:31.399, 30.80 W, 1 %, 0 %, 786 MiB
2025/06/10 06:09:31.502, 32.76 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:31.605, 35.20 W, 0 %, 0 %, 786 MiB
2025/06/10 06:09:31.708, 30.80 W, 4 %, 0 %, 786 MiB
2025/06/10 06:09:31.812, 34.96 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:31.915, 35.20 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:32.019, 35.20 W, 2 %, 0 %, 786 MiB
2025/06/10 06:09:32.122, 34.47 W, 2 %, 0 %, 786 MiB
