timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/05/29 18:09:23.959, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:09:24.962, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:09:25.966, 31.05 W, 5 %, 0 %, 780 MiB
2025/05/29 18:09:26.969, 31.05 W, 4 %, 0 %, 780 MiB
2025/05/29 18:09:27.972, 31.54 W, 5 %, 0 %, 780 MiB
2025/05/29 18:09:28.975, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:09:29.978, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:09:30.984, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:09:31.987, 33.49 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:32.990, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:09:33.994, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:34.997, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:09:36.002, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:37.005, 32.76 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:38.008, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:39.011, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:09:40.014, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:41.017, 33.25 W, 0 %, 0 %, 780 MiB
2025/05/29 18:09:42.021, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:43.024, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:09:44.028, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:09:45.031, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:46.034, 31.05 W, 3 %, 0 %, 780 MiB
2025/05/29 18:09:47.037, 31.78 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:48.041, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:09:49.046, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:50.049, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:09:51.052, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:52.055, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:09:53.058, 32.27 W, 5 %, 0 %, 780 MiB
2025/05/29 18:09:54.064, 31.05 W, 1 %, 0 %, 780 MiB
2025/05/29 18:09:55.067, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:56.070, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:09:57.073, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:58.077, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:09:59.081, 33.74 W, 1 %, 0 %, 780 MiB
2025/05/29 18:10:00.085, 34.71 W, 0 %, 0 %, 780 MiB
2025/05/29 18:10:01.088, 30.80 W, 2 %, 0 %, 780 MiB
