timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/06/09 23:14:25.005, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:25.108, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:25.212, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:25.315, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:25.418, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:25.521, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:25.624, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:25.728, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:25.831, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:25.934, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:26.037, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:26.140, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:26.243, 30.31 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:26.348, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:26.451, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:26.554, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:26.657, 30.32 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:26.760, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/09 23:14:26.863, 30.56 W, 0 %, 0 %, 544 MiB
2025/06/09 23:14:26.967, 37.64 W, 0 %, 0 %, 544 MiB
2025/06/09 23:14:27.071, 31.78 W, 0 %, 0 %, 672 MiB
2025/06/09 23:14:27.174, 49.84 W, 4 %, 1 %, 536 MiB
2025/06/09 23:14:27.277, 30.56 W, 24 %, 5 %, 536 MiB
2025/06/09 23:14:27.380, 30.56 W, 24 %, 5 %, 536 MiB
2025/06/09 23:14:27.483, 54.97 W, 15 %, 6 %, 1074 MiB
2025/06/09 23:14:27.587, 49.32 W, 15 %, 6 %, 674 MiB
2025/06/09 23:14:27.690, 58.10 W, 95 %, 20 %, 674 MiB
2025/06/09 23:14:27.793, 54.24 W, 96 %, 18 %, 1114 MiB
2025/06/09 23:14:27.896, 59.08 W, 96 %, 18 %, 536 MiB
2025/06/09 23:14:27.999, 70.76 W, 98 %, 21 %, 812 MiB
2025/06/09 23:14:28.102, 83.14 W, 98 %, 21 %, 2978 MiB
2025/06/09 23:14:28.205, 84.36 W, 96 %, 30 %, 2978 MiB
2025/06/09 23:14:28.310, 47.88 W, 100 %, 36 %, 676 MiB
2025/06/09 23:14:28.413, 80.02 W, 100 %, 36 %, 1234 MiB
2025/06/09 23:14:28.516, 110.68 W, 100 %, 19 %, 1234 MiB
2025/06/09 23:14:28.619, 87.53 W, 100 %, 27 %, 834 MiB
2025/06/09 23:14:28.722, 80.17 W, 100 %, 27 %, 686 MiB
2025/06/09 23:14:28.825, 102.82 W, 100 %, 21 %, 834 MiB
2025/06/09 23:14:28.928, 123.66 W, 100 %, 21 %, 978 MiB
2025/06/09 23:14:29.034, 84.83 W, 96 %, 21 %, 978 MiB
2025/06/09 23:14:29.137, 94.26 W, 96 %, 23 %, 1284 MiB
2025/06/09 23:14:29.239, 158.18 W, 96 %, 23 %, 3006 MiB
2025/06/09 23:14:29.342, 90.69 W, 96 %, 31 %, 3006 MiB
2025/06/09 23:14:29.445, 139.81 W, 96 %, 31 %, 1814 MiB
2025/06/09 23:14:29.548, 40.80 W, 100 %, 32 %, 686 MiB
2025/06/09 23:14:29.651, 37.89 W, 100 %, 13 %, 686 MiB
2025/06/09 23:14:29.754, 35.44 W, 100 %, 13 %, 686 MiB
2025/06/09 23:14:29.859, 34.96 W, 64 %, 4 %, 686 MiB
2025/06/09 23:14:29.962, 35.69 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:30.065, 36.67 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:30.168, 35.93 W, 7 %, 1 %, 686 MiB
2025/06/09 23:14:30.272, 36.91 W, 7 %, 1 %, 686 MiB
2025/06/09 23:14:30.375, 38.13 W, 2 %, 0 %, 686 MiB
2025/06/09 23:14:30.479, 35.44 W, 2 %, 0 %, 686 MiB
2025/06/09 23:14:30.582, 39.11 W, 2 %, 0 %, 686 MiB
2025/06/09 23:14:30.685, 45.68 W, 2 %, 0 %, 686 MiB
2025/06/09 23:14:30.788, 35.93 W, 2 %, 0 %, 686 MiB
2025/06/09 23:14:30.891, 35.69 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:30.994, 35.93 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:31.098, 36.91 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:31.201, 35.93 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:31.305, 37.15 W, 7 %, 1 %, 686 MiB
2025/06/09 23:14:31.408, 36.42 W, 7 %, 1 %, 686 MiB
2025/06/09 23:14:31.511, 37.89 W, 2 %, 0 %, 686 MiB
2025/06/09 23:14:31.614, 37.89 W, 2 %, 0 %, 686 MiB
2025/06/09 23:14:31.718, 35.69 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:31.821, 40.33 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:31.924, 44.22 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:32.028, 35.93 W, 7 %, 1 %, 686 MiB
2025/06/09 23:14:32.131, 38.60 W, 7 %, 1 %, 686 MiB
2025/06/09 23:14:32.234, 35.93 W, 1 %, 0 %, 686 MiB
2025/06/09 23:14:32.338, 35.69 W, 2 %, 0 %, 686 MiB
2025/06/09 23:14:32.441, 35.93 W, 2 %, 0 %, 686 MiB
2025/06/09 23:14:32.544, 30.32 W, 7 %, 1 %, 686 MiB
2025/06/09 23:14:32.647, 30.56 W, 3 %, 1 %, 686 MiB
2025/06/09 23:14:32.750, 30.80 W, 3 %, 1 %, 686 MiB
2025/06/09 23:14:32.854, 30.80 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:32.957, 35.20 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:33.060, 30.80 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:33.163, 32.52 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:33.267, 30.80 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:33.370, 30.56 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:33.473, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:33.576, 37.89 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:33.679, 40.83 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:33.786, 30.80 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:33.889, 46.66 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:33.992, 35.69 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:34.095, 30.56 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:34.198, 30.56 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:34.304, 30.56 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:34.407, 30.56 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:34.511, 36.42 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:34.614, 30.56 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:34.717, 30.80 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:34.820, 30.56 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:34.925, 30.80 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:35.028, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:35.131, 41.53 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:35.234, 30.80 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:35.337, 48.37 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:35.441, 30.80 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:35.545, 37.16 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:35.648, 30.80 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:35.751, 30.56 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:35.854, 30.80 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:35.957, 30.80 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:36.060, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:36.164, 31.05 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:36.268, 32.27 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:36.371, 30.80 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:36.474, 35.20 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:36.577, 30.80 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:36.680, 32.76 W, 1 %, 0 %, 686 MiB
2025/06/09 23:14:36.785, 48.37 W, 1 %, 0 %, 686 MiB
2025/06/09 23:14:36.888, 35.93 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:36.991, 30.80 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:37.094, 33.25 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:37.195, 30.80 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:37.298, 30.80 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:37.404, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:37.507, 31.54 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:37.610, 30.56 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:37.713, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:37.816, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:37.920, 30.56 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:38.024, 30.80 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:38.127, 40.31 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:38.230, 30.80 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:38.333, 30.56 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:38.436, 32.27 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:38.539, 30.80 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:38.643, 31.54 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:38.747, 30.80 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:38.850, 32.76 W, 2 %, 0 %, 686 MiB
2025/06/09 23:14:38.953, 30.80 W, 2 %, 0 %, 686 MiB
2025/06/09 23:14:39.056, 51.79 W, 1 %, 0 %, 686 MiB
2025/06/09 23:14:39.159, 30.80 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:39.263, 30.80 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:39.366, 30.80 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:39.469, 30.80 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:39.572, 30.56 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:39.675, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:39.778, 36.67 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:39.883, 31.29 W, 11 %, 2 %, 686 MiB
2025/06/09 23:14:39.986, 30.80 W, 11 %, 2 %, 686 MiB
2025/06/09 23:14:40.089, 31.78 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:40.192, 39.58 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:40.295, 30.56 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:40.399, 30.80 W, 8 %, 1 %, 686 MiB
2025/06/09 23:14:40.502, 30.80 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:40.606, 30.56 W, 3 %, 0 %, 686 MiB
2025/06/09 23:14:40.709, 30.80 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:40.812, 30.80 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:40.915, 31.05 W, 0 %, 0 %, 686 MiB
2025/06/09 23:14:41.018, 30.56 W, 5 %, 1 %, 686 MiB
2025/06/09 23:14:41.122, 31.29 W, 5 %, 1 %, 686 MiB
