timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/06/08 17:15:17.775, 30.80 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:17.878, 30.80 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:17.981, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:18.087, 30.80 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:18.188, 30.80 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:18.291, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:18.394, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:18.497, 30.80 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:18.600, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:18.704, 30.80 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:18.807, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:18.910, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:19.013, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:19.116, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:19.219, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:19.322, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:19.427, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:19.530, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:19.633, 30.56 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:19.736, 30.80 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:19.839, 30.80 W, 0 %, 0 %, 544 MiB
2025/06/08 17:15:19.942, 30.80 W, 3 %, 0 %, 672 MiB
2025/06/08 17:15:20.047, 58.60 W, 3 %, 0 %, 1068 MiB
2025/06/08 17:15:20.150, 30.80 W, 26 %, 5 %, 536 MiB
2025/06/08 17:15:20.253, 30.80 W, 0 %, 0 %, 536 MiB
2025/06/08 17:15:20.356, 66.86 W, 0 %, 0 %, 1068 MiB
2025/06/08 17:15:20.460, 55.45 W, 64 %, 18 %, 1086 MiB
2025/06/08 17:15:20.563, 49.35 W, 64 %, 18 %, 674 MiB
2025/06/08 17:15:20.666, 50.30 W, 95 %, 18 %, 1114 MiB
2025/06/08 17:15:20.769, 53.26 W, 96 %, 21 %, 1114 MiB
2025/06/08 17:15:20.872, 56.39 W, 96 %, 21 %, 1114 MiB
2025/06/08 17:15:20.975, 99.36 W, 97 %, 23 %, 2978 MiB
2025/06/08 17:15:21.078, 102.56 W, 97 %, 36 %, 2978 MiB
2025/06/08 17:15:21.182, 42.75 W, 97 %, 36 %, 684 MiB
2025/06/08 17:15:21.286, 106.64 W, 100 %, 23 %, 1232 MiB
2025/06/08 17:15:21.389, 81.71 W, 100 %, 23 %, 1288 MiB
2025/06/08 17:15:21.492, 67.59 W, 100 %, 30 %, 1238 MiB
2025/06/08 17:15:21.595, 101.29 W, 100 %, 22 %, 1268 MiB
2025/06/08 17:15:21.699, 107.08 W, 100 %, 22 %, 1238 MiB
2025/06/08 17:15:21.802, 83.62 W, 99 %, 19 %, 1268 MiB
2025/06/08 17:15:21.907, 99.83 W, 99 %, 19 %, 976 MiB
2025/06/08 17:15:22.010, 87.97 W, 96 %, 23 %, 976 MiB
2025/06/08 17:15:22.113, 155.01 W, 96 %, 23 %, 3004 MiB
2025/06/08 17:15:22.216, 109.08 W, 96 %, 23 %, 1812 MiB
2025/06/08 17:15:22.322, 121.09 W, 99 %, 34 %, 1812 MiB
2025/06/08 17:15:22.425, 43.24 W, 100 %, 27 %, 684 MiB
2025/06/08 17:15:22.531, 38.13 W, 100 %, 27 %, 684 MiB
