timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/06/09 23:21:26.037, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:26.141, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:26.243, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:26.347, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:26.450, 30.56 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:26.553, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:26.656, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:26.759, 30.56 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:26.862, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:26.967, 30.56 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:27.070, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:27.173, 30.56 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:27.276, 30.56 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:27.378, 30.56 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:27.481, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:27.586, 49.59 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:27.689, 30.80 W, 8 %, 1 %, 686 MiB
2025/06/09 23:21:27.792, 30.80 W, 8 %, 1 %, 686 MiB
2025/06/09 23:21:27.895, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:27.998, 30.80 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:28.101, 35.93 W, 0 %, 0 %, 686 MiB
2025/06/09 23:21:28.206, 30.56 W, 11 %, 2 %, 686 MiB
2025/06/09 23:21:28.309, 31.29 W, 3 %, 0 %, 686 MiB
2025/06/09 23:21:28.412, 32.03 W, 3 %, 0 %, 686 MiB
2025/06/09 23:21:28.515, 31.54 W, 3 %, 0 %, 686 MiB
2025/06/09 23:21:28.618, 33.25 W, 3 %, 0 %, 686 MiB
2025/06/09 23:21:28.721, 38.38 W, 5 %, 1 %, 686 MiB
2025/06/09 23:21:28.826, 38.38 W, 5 %, 1 %, 686 MiB
