timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/05/29 07:57:24.356, 30.56 W, 0 %, 0 %, 692 MiB
2025/05/29 07:57:25.360, 30.58 W, 0 %, 0 %, 692 MiB
2025/05/29 07:57:26.360, 34.23 W, 3 %, 0 %, 692 MiB
2025/05/29 07:57:27.363, 30.80 W, 5 %, 1 %, 692 MiB
2025/05/29 07:57:28.364, 30.80 W, 3 %, 0 %, 692 MiB
2025/05/29 07:57:29.367, 30.80 W, 3 %, 0 %, 692 MiB
2025/05/29 07:57:30.373, 38.62 W, 0 %, 0 %, 692 MiB
2025/05/29 07:57:31.376, 32.03 W, 3 %, 0 %, 692 MiB
2025/05/29 07:57:32.377, 41.07 W, 3 %, 0 %, 692 MiB
2025/05/29 07:57:33.380, 45.20 W, 0 %, 0 %, 692 MiB
2025/05/29 07:57:34.381, 30.56 W, 8 %, 1 %, 692 MiB
2025/05/29 07:57:35.384, 30.80 W, 5 %, 1 %, 692 MiB
2025/05/29 07:57:36.391, 41.78 W, 0 %, 0 %, 692 MiB
2025/05/29 07:57:37.394, 30.80 W, 3 %, 0 %, 692 MiB
2025/05/29 07:57:38.395, 30.80 W, 8 %, 1 %, 692 MiB
2025/05/29 07:57:39.398, 30.56 W, 5 %, 1 %, 692 MiB
2025/05/29 07:57:40.400, 34.22 W, 5 %, 1 %, 692 MiB
2025/05/29 07:57:41.406, 31.29 W, 6 %, 1 %, 692 MiB
2025/05/29 07:57:42.407, 40.80 W, 3 %, 0 %, 692 MiB
2025/05/29 07:57:43.410, 30.56 W, 0 %, 0 %, 692 MiB
2025/05/29 07:57:44.411, 30.80 W, 5 %, 1 %, 692 MiB
2025/05/29 07:57:45.414, 33.49 W, 5 %, 1 %, 692 MiB
2025/05/29 07:57:46.415, 36.67 W, 0 %, 0 %, 692 MiB
2025/05/29 07:57:47.418, 31.05 W, 3 %, 0 %, 692 MiB
2025/05/29 07:57:48.419, 30.56 W, 3 %, 0 %, 692 MiB
2025/05/29 07:57:49.422, 30.56 W, 3 %, 0 %, 692 MiB
2025/05/29 07:57:50.423, 30.80 W, 17 %, 3 %, 692 MiB
