timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/05/29 06:55:01.597, 30.56 W, 0 %, 0 %, 536 MiB
2025/05/29 06:55:02.602, 30.56 W, 0 %, 0 %, 536 MiB
2025/05/29 06:55:03.605, 36.18 W, 0 %, 0 %, 536 MiB
2025/05/29 06:55:04.608, 72.18 W, 93 %, 20 %, 812 MiB
2025/05/29 06:55:05.611, 89.84 W, 93 %, 20 %, 1284 MiB
2025/05/29 06:55:06.614, 54.47 W, 6 %, 0 %, 686 MiB
2025/05/29 06:55:07.617, 50.08 W, 5 %, 1 %, 686 MiB
2025/05/29 06:55:08.620, 36.67 W, 0 %, 0 %, 686 MiB
2025/05/29 06:55:09.623, 30.80 W, 5 %, 1 %, 686 MiB
2025/05/29 06:55:10.626, 30.80 W, 3 %, 0 %, 686 MiB
2025/05/29 06:55:11.630, 42.75 W, 0 %, 0 %, 686 MiB
2025/05/29 06:55:12.633, 33.49 W, 0 %, 0 %, 686 MiB
2025/05/29 06:55:13.639, 35.93 W, 8 %, 1 %, 686 MiB
2025/05/29 06:55:14.642, 30.80 W, 3 %, 0 %, 686 MiB
2025/05/29 06:55:15.645, 32.76 W, 2 %, 0 %, 686 MiB
2025/05/29 06:55:16.648, 30.80 W, 8 %, 1 %, 686 MiB
2025/05/29 06:55:17.651, 31.78 W, 3 %, 0 %, 686 MiB
2025/05/29 06:55:18.656, 30.56 W, 5 %, 1 %, 686 MiB
2025/05/29 06:55:19.659, 30.80 W, 5 %, 1 %, 686 MiB
2025/05/29 06:55:20.662, 30.80 W, 3 %, 0 %, 686 MiB
2025/05/29 06:55:21.665, 37.89 W, 0 %, 0 %, 686 MiB
2025/05/29 06:55:22.669, 37.89 W, 2 %, 0 %, 686 MiB
2025/05/29 06:55:23.674, 32.03 W, 5 %, 1 %, 686 MiB
2025/05/29 06:55:24.678, 30.56 W, 8 %, 1 %, 686 MiB
2025/05/29 06:55:25.681, 30.80 W, 5 %, 1 %, 686 MiB
2025/05/29 06:55:26.684, 30.80 W, 3 %, 0 %, 686 MiB
2025/05/29 06:55:27.687, 30.80 W, 8 %, 1 %, 686 MiB
2025/05/29 06:55:28.692, 67.59 W, 91 %, 24 %, 826 MiB
2025/05/29 06:55:29.695, 107.64 W, 100 %, 22 %, 1226 MiB
2025/05/29 06:55:30.698, 39.60 W, 100 %, 32 %, 686 MiB
2025/05/29 06:55:31.702, 36.42 W, 7 %, 1 %, 686 MiB
2025/05/29 06:55:32.705, 52.97 W, 2 %, 0 %, 686 MiB
2025/05/29 06:55:33.710, 36.18 W, 0 %, 0 %, 686 MiB
2025/05/29 06:55:34.714, 42.02 W, 7 %, 1 %, 686 MiB
2025/05/29 06:55:35.717, 43.48 W, 0 %, 0 %, 686 MiB
2025/05/29 06:55:36.720, 37.40 W, 10 %, 2 %, 686 MiB
2025/05/29 06:55:37.723, 40.55 W, 5 %, 1 %, 686 MiB
2025/05/29 06:55:38.728, 36.18 W, 7 %, 1 %, 686 MiB
2025/05/29 06:55:39.731, 39.35 W, 7 %, 1 %, 686 MiB
2025/05/29 06:55:40.734, 36.18 W, 0 %, 0 %, 686 MiB
2025/05/29 06:55:41.737, 36.42 W, 10 %, 2 %, 686 MiB
2025/05/29 06:55:42.740, 36.18 W, 7 %, 1 %, 686 MiB
2025/05/29 06:55:43.746, 38.62 W, 2 %, 0 %, 686 MiB
2025/05/29 06:55:44.749, 36.18 W, 7 %, 1 %, 686 MiB
2025/05/29 06:55:45.752, 36.42 W, 0 %, 0 %, 686 MiB
2025/05/29 06:55:46.755, 36.18 W, 0 %, 0 %, 686 MiB
2025/05/29 06:55:47.758, 36.67 W, 2 %, 0 %, 686 MiB
2025/05/29 06:55:48.761, 36.42 W, 2 %, 0 %, 686 MiB
2025/05/29 06:55:49.765, 36.18 W, 0 %, 0 %, 686 MiB
2025/05/29 06:55:50.768, 36.42 W, 7 %, 1 %, 686 MiB
2025/05/29 06:55:51.771, 55.94 W, 5 %, 1 %, 686 MiB
2025/05/29 06:55:52.774, 36.42 W, 2 %, 0 %, 686 MiB
2025/05/29 06:55:53.777, 36.91 W, 7 %, 1 %, 686 MiB
2025/05/29 06:55:54.780, 36.18 W, 5 %, 1 %, 686 MiB
2025/05/29 06:55:55.784, 31.29 W, 5 %, 1 %, 686 MiB
2025/05/29 06:55:56.787, 34.22 W, 3 %, 0 %, 686 MiB
2025/05/29 06:55:57.790, 31.05 W, 2 %, 0 %, 686 MiB
2025/05/29 06:55:58.793, 32.03 W, 0 %, 0 %, 686 MiB
2025/05/29 06:55:59.796, 30.80 W, 0 %, 0 %, 686 MiB
2025/05/29 06:56:00.802, 30.80 W, 0 %, 0 %, 686 MiB
2025/05/29 06:56:01.805, 30.80 W, 0 %, 0 %, 686 MiB
2025/05/29 06:56:02.808, 30.80 W, 8 %, 1 %, 686 MiB
2025/05/29 06:56:03.811, 39.34 W, 0 %, 0 %, 686 MiB
2025/05/29 06:56:04.815, 31.05 W, 5 %, 1 %, 686 MiB
2025/05/29 06:56:05.820, 35.69 W, 0 %, 0 %, 686 MiB
2025/05/29 06:56:06.823, 31.05 W, 2 %, 0 %, 686 MiB
2025/05/29 06:56:07.826, 32.27 W, 5 %, 1 %, 686 MiB
2025/05/29 06:56:08.829, 30.80 W, 8 %, 1 %, 686 MiB
2025/05/29 06:56:09.832, 30.80 W, 4 %, 1 %, 686 MiB
2025/05/29 06:56:10.837, 30.80 W, 8 %, 1 %, 686 MiB
2025/05/29 06:56:11.841, 30.80 W, 5 %, 1 %, 686 MiB
