timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/05/29 08:50:21.495, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:50:22.498, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:50:23.503, 43.00 W, 0 %, 0 %, 674 MiB
2025/05/29 08:50:24.509, 42.27 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:25.512, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:50:26.516, 31.05 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:27.521, 35.44 W, 8 %, 1 %, 674 MiB
2025/05/29 08:50:28.525, 38.13 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:29.529, 42.76 W, 3 %, 0 %, 674 MiB
2025/05/29 08:50:30.535, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:31.539, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:32.543, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:50:33.547, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:34.554, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:35.558, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:36.562, 44.22 W, 0 %, 0 %, 674 MiB
2025/05/29 08:50:37.566, 31.05 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:38.572, 39.35 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:39.576, 31.54 W, 8 %, 1 %, 674 MiB
2025/05/29 08:50:40.580, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:41.585, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:42.591, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:50:43.595, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:44.599, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:45.604, 30.80 W, 11 %, 2 %, 674 MiB
2025/05/29 08:50:46.608, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:47.612, 37.89 W, 3 %, 0 %, 674 MiB
2025/05/29 08:50:48.615, 31.29 W, 3 %, 0 %, 674 MiB
2025/05/29 08:50:49.618, 37.40 W, 0 %, 0 %, 674 MiB
2025/05/29 08:50:50.622, 30.80 W, 8 %, 1 %, 674 MiB
2025/05/29 08:50:51.625, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:50:52.629, 30.80 W, 3 %, 0 %, 674 MiB
